Pais,Ano,Quantidade (kg),Valor (US$)
"Alemanha, República Democrática",2005,947206.0,1188268.0
Malásia,2005,18550.0,36173.0
Moçambique,2005,16726.0,9847.0
Bolívia,2005,38858.0,19736.0
Nova Zelândia,2005,83700.0,112955.0
Tailândia,2005,19200.0,38400.0
Portugal,2005,48341.0,74242.0
Rússia,2005,177600.0,71988.0
Guadalupe,2005,92100.0,176188.0
Guine Bissau,2005,13000.0,11182.0
Hong Kong,2005,74200.0,89040.0
Senegal,2005,1880.0,825.0
Uruguai,2005,52351.0,22163.0
Alemanha,2005,549.0,2670.0
Cabo Verde,2005,12988.0,8862.0
Guiana Francesa,2005,11391.0,8976.0
Trinidade Tobago,2005,54.0,60.0
Angola,2005,295931.0,290140.0
Argentina,2005,305958.0,433467.0
Bélgica,2005,47768.0,105163.0
Porto Rico,2005,629195.0,864725.0
Noruega,2005,718961.0,2196655.0
Guine Equatorial,2005,1600.0,878.0
Espanha,2005,173865.0,274069.0
Paraguai,2005,1998069.0,743549.0
Trinidade e Tobago,2005,63288.0,85643.0
Suécia,2005,572270.0,957432.0
Honduras,2005,1356.0,3456.0
Japão,2005,4378124.0,6389408.0
Suíça,2005,23073.0,51090.0
Congo,2005,1500.0,900.0
Polônia,2005,9909.0,10184.0
França,2005,304033.0,517357.0
Antilhas Holandesas,2005,10907.0,9570.0
Canadá,2005,582446.0,994152.0
Coreia do Sul,2005,334800.0,451980.0
Líbia,2005,9365.0,7442.0
Austrália,2005,1609.0,1652.0
Barbados,2005,1714.0,767.0
Itália,2005,194783.0,350720.0
Panamá,2005,1125.0,1213.0
Gana,2005,7774.0,5489.0
Quênia,2005,9686.0,47793.0
Irlanda,2005,14850.0,36300.0
Países Baixos,2005,31911480.0,62948651.0
Colômbia,2006,583.0,490.0
Vietnã,2006,2013.0,2362.0
Taiwan (Formosa),2006,11427.0,19778.0
Antilhas Holandesas,2006,19116.0,24419.0
Canada,2006,225.0,1468.0
Namíbia,2006,90.0,160.0
Angola,2006,14442.0,29543.0
França,2006,78210.0,111272.0
Alemanha,2006,153.0,928.0
Finlândia,2006,26388.0,31843.0
Grécia,2006,142.0,1535.0
Noruega,2006,954200.0,2603197.0
Espanha,2006,76038.0,137914.0
Japão,2006,3939834.0,6025305.0
"Tcheca, República",2006,26495.0,110154.0
Argentina,2006,336434.0,492057.0
India,2006,14.0,33.0
Irlanda,2006,59171.0,152169.0
Benin,2006,10350.0,12075.0
Republica Tcheca,2006,802.0,3950.0
Portugal,2006,103160.0,109330.0
Hong Kong,2006,55650.0,66780.0
Dinamarca,2006,29541.0,67132.0
Luxemburgo,2006,2532.0,8508.0
Quênia,2006,10600.0,15069.0
Uruguai,2006,50640.0,26256.0
Estônia,2006,1974.0,4581.0
Bolívia,2006,7811.0,12901.0
Panamá,2006,13.0,55.0
Cuba,2006,150.0,199.0
Coreia do Sul,2006,234360.0,315462.0
Emirados Árabes Unidos,2006,16320.0,32015.0
Filipinas,2006,20405.0,31628.0
Chipre,2006,134.0,96.0
Tailândia,2006,1800.0,3060.0
Canadá,2006,1094653.0,2549373.0
"Alemanha, República Democrática",2006,856500.0,1313836.0
Martinica,2006,16320.0,35130.0
Malásia,2006,18550.0,36173.0
Suécia,2006,82120.0,175225.0
Suriname,2006,1000.0,2325.0
Suíça,2006,131377.0,306362.0
China,2006,93976.0,143612.0
Emirados Arabes Unidos,2006,363.0,1446.0
Itália,2006,190209.0,336672.0
Países Baixos,2006,33680168.0,59630219.0
Guadalupe,2006,32640.0,66137.0
Reino Unido,2006,10189205.0,22068319.0
Belgica,2006,3375.0,18128.0
Chile,2006,201888.0,241149.0
República Dominicana,2006,36040.0,61268.0
Paraguai,2006,1959870.0,892147.0
Países Baixos (Holanda),2006,49.0,243.0
Cabo Verde,2006,290.0,295.0
Bélgica,2006,764278.0,1127631.0
Congo,2006,1440.0,936.0
"Rússia, Federação da",2006,214200.0,208256.0
Trinidade e Tobago,2006,3.0,179.0
Porto Rico,2006,388500.0,589696.0
Lituânia,2006,120780.0,150840.0
Rússia,2006,432250.0,287307.0
Estados Unidos,2006,14650284.0,28911071.0
Arábia Saudita,2006,73140.0,138906.0
Togo,2006,24.0,21.0
Filipinas,2007,17225.0,34622.0
Austrália,2007,60.0,281.0
República Dominicana,2007,10936.0,25010.0
Coreia do Sul,2007,301320.0,403796.0
Estados Unidos,2007,11968673.0,24839944.0
Portugal,2007,137327.0,219395.0
China,2007,7713.0,30854.0
Hong Kong,2007,15640.0,37502.0
Dinamarca,2007,45277.0,114562.0
Reino Unido,2007,17763862.0,41306730.0
Países Baixos,2007,40804165.0,81373752.0
Uruguai,2007,66477.0,37638.0
"Coreia, Republica Sul",2007,1012.0,4650.0
Antilhas Holandesas,2007,17025.0,17949.0
Guadalupe,2007,15300.0,30151.0
Luxemburgo,2007,1085.0,4337.0
"Alemanha, República Democrática",2007,2376219.0,5429509.0
Malásia,2007,18550.0,38028.0
Espanha,2007,77556.0,102057.0
Alemanha,2007,3547.0,10192.0
Trinidade e Tobago,2007,30985.0,56135.0
Rússia,2007,266400.0,173160.0
"Rússia, Federação da",2007,550147.0,1045637.0
Irlanda,2007,336410.0,823212.0
Chile,2007,61785.0,74193.0
Guatemala,2007,2388.0,3820.0
Suíça,2007,26090.0,70736.0
Canadá,2007,1650253.0,4257866.0
Bolívia,2007,6522.0,9415.0
Japão,2007,5131825.0,9283888.0
Países Baixos (Holanda),2007,199.0,1100.0
Belgica,2007,540.0,2304.0
Itália,2007,118163.0,349378.0
França,2007,14231.0,27100.0
Emirados Árabes Unidos,2007,33435.0,90278.0
Venezuela,2007,20700.0,27370.0
Lituânia,2007,195696.0,278716.0
Taiwan (Formosa),2007,17781.0,34021.0
Noruega,2007,1634224.0,5472840.0
"Tcheca, República",2007,86609.0,192154.0
México,2007,119318.0,287665.0
Porto Rico,2007,381495.0,693953.0
Republica Dominicana,2007,23.0,83.0
Canada,2007,1350.0,6705.0
Suécia,2007,193795.0,534535.0
Tailândia,2007,5339.0,11425.0
Republica Tcheca,2007,1820.0,4169.0
Angola,2007,75619.0,99745.0
Gana,2007,20.0,16.0
Panamá,2007,810.0,1030.0
Arábia Saudita,2007,292560.0,637078.0
Equador,2007,2700.0,3585.0
Cabo Verde,2007,86.0,69.0
Suriname,2007,2700.0,4603.0
Estônia,2007,77697.0,54056.0
Outros(1),2007,3082.0,13359.0
Cuba,2007,2669.0,5118.0
Argentina,2007,477445.0,852758.0
Quênia,2007,10600.0,13860.0
Bélgica,2007,2252577.0,5393091.0
Togo,2007,11.0,11.0
Cingapura,2007,7270.0,17864.0
Paraguai,2007,1294355.0,814325.0
Republica Tcheca,2008,493.0,1125.0
Arábia Saudita,2008,48760.0,123802.0
"Rússia, Federação da",2008,873977.0,1853317.0
Taiwan (Formosa),2008,21434.0,46457.0
Irlanda,2008,764178.0,2288680.0
Suíça,2008,71379.0,262300.0
Belgica,2008,112.0,682.0
Espanha,2008,3937.0,9928.0
Honduras,2008,216.0,782.0
Nigéria,2008,7560.0,10920.0
Paquistão,2008,390.0,462.0
Cabo Verde,2008,490.0,341.0
Tailândia,2008,3000.0,8526.0
Guine Equatorial,2008,862.0,2687.0
Estônia,2008,4114.0,9730.0
"Coreia do Sul, Republica da",2008,842.0,2553.0
Paraguai,2008,2269870.0,1434680.0
Guadalupe,2008,15300.0,34850.0
Panamá,2008,1161.0,1882.0
Guiné Equatorial,2008,2.0,416.0
"Coreia, Republica Sul",2008,3520.0,14366.0
Alemanha,2008,5423.0,20928.0
Rússia,2008,6207658.0,2352768.0
Uruguai,2008,40678.0,60952.0
"Eslovaca, Republica",2008,585.0,16063.0
Luxemburgo,2008,15289.0,48708.0
Suriname,2008,900.0,1625.0
Reino Unido,2008,18701703.0,38997523.0
Cingapura,2008,1611.0,6632.0
Bélgica,2008,3167389.0,8124268.0
Portugal,2008,49090.0,48942.0
Gana,2008,18168.0,25642.0
Dinamarca,2008,414580.0,1243566.0
Canadá,2008,760468.0,2702133.0
França,2008,17000.0,42929.0
China,2008,8689.0,25926.0
Antilhas Holandesas,2008,18412.0,23628.0
Hong Kong,2008,3240.0,17514.0
Angola,2008,125088.0,233306.0
"Tcheca, República",2008,18131.0,66145.0
Trinidade e Tobago,2008,3446.0,3471.0
Argentina,2008,726007.0,1483054.0
Suécia,2008,279617.0,647823.0
Haiti,2008,20.0,20.0
Finlândia,2008,24580.0,79087.0
Togo,2008,5160.0,7800.0
Coreia do Sul,2008,87450.0,245834.0
Emirados Arabes Unidos,2008,2437.0,12298.0
Namíbia,2008,340.0,722.0
Polônia,2008,22972.0,68743.0
"Dominica, Ilha de",2008,348.0,324.0
Japão,2008,5803725.0,13058270.0
Malásia,2008,37100.0,89040.0
Barbados,2008,1703.0,1983.0
Países Baixos,2008,34753700.0,66010850.0
Emirados Árabes Unidos,2008,160700.0,306763.0
Lituânia,2008,94212.0,175035.0
Porto Rico,2008,407105.0,952558.0
Arabia Saudita,2008,47328.0,103666.0
Noruega,2008,1434054.0,4094121.0
Estados Unidos,2008,19975554.0,42889685.0
República Dominicana,2008,30210.0,75434.0
Austrália,2008,218726.0,99280.0
Costa Rica,2008,55.0,200.0
Bolívia,2008,6626.0,8600.0
Itália,2008,204000.0,574137.0
Benin,2008,10350.0,17423.0
"Alemanha, República Democrática",2008,1563733.0,3123041.0
Luxemburgo,2009,8838.0,46087.0
Uruguai,2009,33954.0,64892.0
"Alemanha, República Democrática",2009,984680.0,1869239.0
Tailândia,2009,4500.0,12789.0
República Dominicana,2009,21465.0,60138.0
Estônia,2009,5438.0,10802.0
Israel,2009,18550.0,46097.0
Republica Tcheca,2009,395.0,900.0
Argentina,2009,415430.0,940727.0
Polônia,2009,8527.0,42656.0
Rússia,2009,21912914.0,5732280.0
Paraguai,2009,518709.0,433867.0
Portugal,2009,141000.0,168923.0
Alemanha,2009,6648.0,29018.0
Arábia Saudita,2009,48760.0,124520.0
Chile,2009,3148.0,12910.0
China,2009,1553416.0,482400.0
Honduras,2009,14.0,30.0
Antilhas Holandesas,2009,8415.0,12311.0
Cingapura,2009,3395.0,8894.0
Panamá,2009,24.0,30.0
Dinamarca,2009,327980.0,898925.0
Canadá,2009,704542.0,2398161.0
Suíça,2009,27950.0,81786.0
Estados Unidos,2009,13838620.0,25609525.0
Venezuela,2009,7688.0,15969.0
Finlândia,2009,58825.0,161700.0
Barbados,2009,2806.0,2314.0
Espanha,2009,2181.0,4050.0
Aruba,2009,5008.0,3270.0
Guine Equatorial,2009,199.0,369.0
Bélgica,2009,1633521.0,3288387.0
Vietnã,2009,1418.0,3911.0
Malásia,2009,18550.0,44520.0
Japão,2009,4224429.0,9230913.0
Bolívia,2009,40463.0,20729.0
Emirados Árabes Unidos,2009,16728.0,33861.0
México,2009,18550.0,48230.0
Emirados Arabes Unidos,2009,1398.0,4032.0
Lituânia,2009,45900.0,147364.0
Reino Unido,2009,13329124.0,27542072.0
El Salvador,2009,55.0,100.0
Haiti,2009,4500.0,5863.0
Itália,2009,145186.0,499773.0
Suécia,2009,191404.0,444580.0
Países Baixos (Holanda),2009,2250.0,11276.0
Peru,2009,7950.0,19478.0
Africa do Sul,2009,15300.0,32130.0
Porto Rico,2009,351740.0,803785.0
Nicarágua,2009,24.0,24.0
Guatemala,2009,1820.0,2870.0
"Rússia, Federação da",2009,31488.0,70848.0
Noruega,2009,1406774.0,4007602.0
Austrália,2009,1014.0,9195.0
Países Baixos,2009,22834323.0,44321929.0
"Tcheca, República",2009,9269.0,43902.0
Angola,2009,333373.0,419227.0
Suriname,2009,3830.0,12918.0
Nigéria,2009,41.0,115.0
Hong Kong,2009,50439.0,27693.0
Irlanda,2009,628605.0,2110422.0
Irlanda,2010,224449.0,699367.0
Aruba,2010,1878.0,1143.0
Estônia,2010,15848.0,40778.0
Reino Unido,2010,15160760.0,33278161.0
Angola,2010,144108.0,870532.0
"Tcheca, República",2010,2032.0,9202.0
Uruguai,2010,30394.0,73502.0
Panamá,2010,27.0,30.0
Antilhas Holandesas,2010,9810.0,12808.0
Dinamarca,2010,371989.0,997660.0
Porto Rico,2010,75860.0,178570.0
Paraguai,2010,531987.0,502104.0
Suécia,2010,368010.0,859539.0
Hungria,2010,540.0,4103.0
Vietnã,2010,9009.0,10628.0
Emirados Árabes Unidos,2010,80784.0,154936.0
Tailândia,2010,2400.0,6821.0
Gana,2010,2626.0,2803.0
Haiti,2010,2700.0,3750.0
Belgica,2010,12897.0,49742.0
Lituânia,2010,140380.0,340302.0
Suíça,2010,2144.0,22066.0
Alemanha,2010,1958.0,6877.0
Venezuela,2010,450.0,1512.0
Austrália,2010,1823.0,17960.0
Países Baixos,2010,26236585.0,59105687.0
Itália,2010,116557.0,386479.0
"Rússia, Federação da",2010,301102.0,758660.0
Bélgica,2010,1820066.0,4443887.0
Noruega,2010,1016725.0,2766991.0
Emirados Arabes Unidos,2010,1233.0,4010.0
Países Baixos (Holanda),2010,2896.0,11444.0
Bahamas,2010,3321.0,13554.0
Portugal,2010,10085.0,36670.0
Canadá,2010,716985.0,1912515.0
Nicarágua,2010,20.0,40.0
República Dominicana,2010,21431.0,61904.0
Finlândia,2010,36500.0,120256.0
Israel,2010,18550.0,46097.0
Letônia,2010,32400.0,86769.0
Cabo Verde,2010,11991.0,49366.0
Polônia,2010,20554.0,95797.0
Cingapura,2010,1780.0,6242.0
Japão,2010,2824865.0,7264121.0
Falkland (Ilhas Malvinas),2010,14.0,63.0
Guatemala,2010,1660.0,2908.0
Luxemburgo,2010,8190.0,37524.0
França,2010,4604.0,22855.0
Guiana,2010,783.0,3654.0
Guiné Bissau,2010,32.0,70.0
México,2010,132402.0,126175.0
Costa Rica,2010,12.0,30.0
Argentina,2010,447120.0,1010439.0
Espanha,2010,127930.0,252454.0
Estonia,2010,495.0,1860.0
Guine Equatorial,2010,553.0,1511.0
China,2010,1211.0,3924.0
Birmânia,2010,8.0,14.0
Suriname,2010,1836.0,1269.0
Estados Unidos,2010,13685120.0,30002613.0
"Alemanha, República Democrática",2010,741657.0,1576095.0
Trinidade e Tobago,2010,18.0,20.0
Filipinas,2010,15909.0,22258.0
Bolívia,2010,12553.0,6745.0
Lituânia,2011,114350.0,245434.0
Suécia,2011,241954.0,436905.0
Dinamarca,2011,46141.0,121784.0
Colombia,2011,90.0,1068.0
Cuba,2011,2880.0,4899.0
Irlanda,2011,95471.0,180872.0
Bahamas,2011,5530.0,35844.0
Trinidade e Tobago,2011,18550.0,71232.0
Antilhas Holandesas,2011,16479.0,75954.0
"Tcheca, República",2011,6846.0,37271.0
Reino Unido,2011,13390960.0,32203824.0
Luxemburgo,2011,10018.0,68465.0
Canadá,2011,863706.0,2379772.0
Países Baixos (Holanda),2011,5948.0,18399.0
Porto Rico,2011,74200.0,293092.0
Arabia Saudita,2011,15300.0,30600.0
Argentina,2011,292304.0,657977.0
Nicarágua,2011,39.0,20.0
Nova Zelândia,2011,2878.0,9598.0
El Salvador,2011,20.0,10.0
Bolívia,2011,16150.0,29173.0
Espanha,2011,19366.0,67197.0
Congo,2011,360.0,570.0
Bélgica,2011,134529.0,333994.0
Hong Kong,2011,2487.0,9595.0
Guine Equatorial,2011,956.0,1979.0
Japão,2011,4102642.0,14162575.0
Alemanha,2011,1976.0,12018.0
Estados Unidos,2011,16711712.0,39134274.0
República Dominicana,2011,38160.0,151549.0
Estônia,2011,450.0,5336.0
Itália,2011,128601.0,404801.0
China,2011,56984.0,344828.0
Nigéria,2011,162.0,716.0
Aruba,2011,900.0,1680.0
Finlândia,2011,12404.0,50394.0
Angola,2011,14793.0,83197.0
França,2011,1481.0,4436.0
Taiwan (Formosa),2011,4500.0,10600.0
Cabo Verde,2011,600.0,825.0
Venezuela,2011,52680.0,163175.0
Peru,2011,11925.0,47343.0
Portugal,2011,113.0,1059.0
"Rússia, Federação da",2011,501930.0,893448.0
Canada,2011,1894.0,7716.0
Austrália,2011,3632.0,40704.0
Suriname,2011,44774.0,148055.0
Republica Tcheca,2011,526.0,2020.0
Paraguai,2011,257388.0,310990.0
Honduras,2011,55.0,120.0
Emirados Árabes Unidos,2011,50184.0,109956.0
México,2011,63282.0,250324.0
Países Baixos,2011,25472460.0,56490723.0
"Alemanha, República Democrática",2011,1203313.0,2574495.0
Filânldia,2011,1287.0,6359.0
Uruguai,2011,36695.0,96011.0
Suíça,2011,3465.0,12250.0
Polônia,2011,12111.0,52392.0
Emirados Arabes Unidos,2011,2310.0,7184.0
Malásia,2011,18550.0,72160.0
Cingapura,2011,911.0,3317.0
Noruega,2011,977951.0,2731492.0
Finlândia,2012,126378.0,513585.0
Lituânia,2012,111944.0,302874.0
Bolívia,2012,16353.0,28623.0
África do Sul,2012,3739.0,6324.0
Nigéria,2012,6837.0,12180.0
Estonia,2012,369.0,1882.0
Canada,2012,640.0,4663.0
Itália,2012,119587.0,390730.0
"Alemanha, República Democrática da",2012,1.0,1.0
Luxemburgo,2012,6764.0,32540.0
Rússia,2012,4528176.0,2103968.0
Panamá,2012,39.0,2262.0
Suécia,2012,366970.0,1093537.0
Colômbia,2012,12000.0,44520.0
"Rússia, Federação da",2012,45320.0,104620.0
Emirados Arabes Unidos,2012,675.0,3300.0
Países Baixos,2012,26773734.0,62234323.0
Trinidade e Tobago,2012,37483.0,138891.0
Bélgica,2012,16132.0,90718.0
Canadá,2012,765895.0,2289758.0
Cingapura,2012,1212.0,5310.0
Hong Kong,2012,2006.0,10509.0
Estônia,2012,3321.0,19384.0
Alemanha,2012,833.0,5072.0
Argentina,2012,173356.0,332710.0
China,2012,91171.0,667909.0
Polônia,2012,21663.0,89158.0
Estados Unidos,2012,9098342.0,19979474.0
"Alemanha, República Democrática",2012,1029264.0,2121187.0
França,2012,196549.0,191907.0
Tailândia,2012,2700.0,10800.0
México,2012,83291.0,309005.0
Bahamas,2012,1590.0,14247.0
Belgica,2012,7404.0,40086.0
Nova Zelândia,2012,2514.0,9838.0
Noruega,2012,1282357.0,3802194.0
Chile,2012,19020.0,43273.0
República Dominicana,2012,14310.0,54564.0
Portugal,2012,47172.0,47022.0
Angola,2012,3256.0,12779.0
Japão,2012,2199458.0,6874343.0
Paraguai,2012,412664.0,514634.0
Países Baixos (Holanda),2012,3854.0,25485.0
Australia,2012,1317.0,11057.0
Guine Equatorial,2012,899.0,3128.0
Suíça,2012,7794.0,78320.0
Suriname,2012,22146.0,79566.0
Irlanda,2012,61750.0,60763.0
Dinamarca,2012,18492.0,69934.0
Peru,2012,5035.0,18881.0
Reino Unido,2012,12521031.0,30581442.0
"Tcheca, República",2012,7960.0,27789.0
Venezuela,2012,55779.0,185965.0
Uruguai,2012,16159.0,44422.0
Austrália,2012,9345.0,56045.0
Costa Rica,2012,34.0,30.0
Antilhas Holandesas,2012,9247.0,14081.0
Quênia,2012,182.0,945.0
Emirados Árabes Unidos,2012,65280.0,133946.0
Filânldia,2012,378.0,4084.0
Trinidade Tobago,2012,531.0,2720.0
Paraguai,2013,562574.0,868461.0
França,2013,12309.0,65573.0
Coveite,2013,8.0,28.0
Republica Tcheca,2013,158.0,1755.0
Irlanda,2013,81873.0,113499.0
Estados Unidos,2013,3042112.0,6921905.0
Guiana,2013,14.0,93.0
Angola,2013,12424.0,51959.0
"Alemanha, República Democrática da",2013,4.0,5.0
Líbia,2013,7584.0,20760.0
Emirados Árabes Unidos,2013,233100.0,545937.0
Uruguai,2013,72963.0,214015.0
Coreia do Sul,2013,18550.0,52478.0
Peru,2013,10755.0,26560.0
Portugal,2013,23820.0,17638.0
Colombia,2013,22.0,196.0
Japão,2013,3644080.0,10997512.0
Bélgica,2013,22461.0,95893.0
Malásia,2013,18550.0,53795.0
Bahamas,2013,851.0,7845.0
Antilhas Holandesas,2013,11281.0,19565.0
Itália,2013,50025.0,158589.0
Filânldia,2013,693.0,9556.0
Argentina,2013,32640.0,73440.0
Noruega,2013,1216589.0,3799400.0
Haiti,2013,48.0,174.0
Quênia,2013,7.0,5.0
Polônia,2013,19249.0,90960.0
Venezuela,2013,123975.0,376208.0
Australia,2013,767.0,5809.0
Colômbia,2013,13013.0,46465.0
"Rússia, Federação da",2013,61440.0,176640.0
Suécia,2013,961581.0,2800622.0
Hong Kong,2013,16599.0,65373.0
Alemanha,2013,5809.0,30461.0
"Alemanha, República Democrática",2013,2519354.0,5582754.0
Países Baixos,2013,21065378.0,49466691.0
Países Baixos (Holanda),2013,1822.0,10000.0
República Dominicana,2013,37365.0,83445.0
Cingapura,2013,766.0,5779.0
Reino Unido,2013,13367550.0,32532447.0
México,2013,86626.0,310549.0
Guine Equatorial,2013,4020.0,19945.0
Bolívia,2013,22150.0,34236.0
Suíça,2013,4617.0,43799.0
Lituânia,2013,119288.0,263523.0
"Tcheca, República",2013,3817.0,23965.0
Canada,2013,10371.0,36809.0
Finlândia,2013,340802.0,1254935.0
Austrália,2013,16707.0,101715.0
Dinamarca,2013,132156.0,417443.0
Luxemburgo,2013,5900.0,33447.0
Espanha,2013,1976355.0,3771408.0
Nigéria,2013,1380.0,2301.0
Trinidade e Tobago,2013,18550.0,63958.0
Tailândia,2013,3300.0,58383.0
Belgica,2013,1100.0,6078.0
China,2013,60312.0,333783.0
Suriname,2013,14050.0,48653.0
Rússia,2013,5893291.0,14795694.0
Nova Zelândia,2013,19704.0,51438.0
Canadá,2013,751256.0,2033415.0
Antilhas Holandesas,2014,4455.0,7169.0
Rússia,2014,190656.0,61440.0
Cuba,2014,38875.0,43200.0
Dinamarca,2014,102296.0,296247.0
República Dominicana,2014,25970.0,97634.0
Países Baixos (Holanda),2014,8280.0,51852.0
Taiwan (Formosa),2014,12519.0,67907.0
Republica Tcheca,2014,7.0,66.0
Suíça,2014,38869.0,343021.0
Guiana,2014,1.0,6.0
Colômbia,2014,4000.0,13530.0
Austrália,2014,6308.0,43709.0
"Tcheca, República",2014,4860.0,36189.0
"Alemanha, República Democrática",2014,1862862.0,4285944.0
Porto Rico,2014,18550.0,48230.0
Argentina,2014,20635.0,95905.0
Australia,2014,618.0,3951.0
Noruega,2014,950787.0,2594099.0
Aruba,2014,450.0,755.0
Uruguai,2014,63423.0,202181.0
Venezuela,2014,53349.0,159623.0
Trinidade Tobago,2014,360.0,1600.0
Nova Zelândia,2014,12225.0,38344.0
China,2014,69999.0,490530.0
Canada,2014,1847.0,13240.0
Emirados Árabes Unidos,2014,918000.0,2560696.0
Suécia,2014,10502.0,51591.0
México,2014,111071.0,305467.0
Reino Unido,2014,9395195.0,24604189.0
Belgica,2014,104153.0,499164.0
Bolívia,2014,15957.0,26001.0
Trinidade e Tobago,2014,37415.0,129467.0
Alemanha,2014,9236.0,62169.0
Líbia,2014,30720.0,96754.0
Hong Kong,2014,25686.0,96116.0
"Alemanha, República Democrática da",2014,38480.0,23268.0
Tailândia,2014,4980.0,19920.0
Canadá,2014,328138.0,988631.0
Coveite,2014,655.0,2022.0
Luxemburgo,2014,9361.0,58190.0
Japão,2014,4579135.0,12116980.0
Polônia,2014,30387.0,109202.0
"Coreia do Sul, Republica da",2014,4950.0,22797.0
Paraguai,2014,668221.0,1197374.0
Chile,2014,789.0,4539.0
Emirados Arabes Unidos,2014,640.0,3381.0
Suriname,2014,25287.0,94291.0
Guine Equatorial,2014,9691.0,35731.0
"Rússia, Federação da",2014,66912.0,150552.0
Peru,2014,10995.0,29702.0
Países Baixos,2014,15092471.0,34034750.0
Cingapura,2014,654.0,4587.0
Bélgica,2014,168168.0,725348.0
Finlândia,2014,165460.0,481612.0
Itália,2014,784.0,3324.0
Estados Unidos,2014,332285.0,831585.0
França,2014,41563.0,210759.0
Lituânia,2014,255411.0,534737.0
Angola,2014,20248.0,48427.0
Portugal,2014,71544.0,79141.0
Líbia,2015,33156.0,87798.0
Polônia,2015,11879.0,45091.0
México,2015,82377.0,238026.0
Venezuela,2015,17640.0,51709.0
Trinidade e Tobago,2015,39155.0,132194.0
Emirados Árabes Unidos,2015,1341949.0,3423418.0
Porto Rico,2015,45.0,1736.0
Canada,2015,2405.0,15821.0
"Tcheca, República",2015,2297.0,15304.0
Arabia Saudita,2015,61200.0,140760.0
Itália,2015,6.0,20.0
Portugal,2015,47736.0,42586.0
Reino Unido,2015,9654282.0,23131987.0
Canadá,2015,263747.0,701047.0
Nigéria,2015,61200.0,82620.0
Togo,2015,642.0,489.0
Austrália,2015,7708.0,48647.0
"Alemanha, República Democrática da",2015,6.0,6.0
Nova Zelândia,2015,10317.0,24703.0
Filipinas,2015,102555.0,201996.0
Alemanha,2015,6256.0,30939.0
Finlândia,2015,123500.0,253387.0
Cuba,2015,97965.0,108864.0
França,2015,17842.0,208046.0
Uruguai,2015,128286.0,253716.0
Republica Tcheca,2015,23.0,278.0
Angola,2015,3286.0,18828.0
Suíça,2015,16952.0,95438.0
República Dominicana,2015,20270.0,65855.0
Hong Kong,2015,30014.0,50440.0
Países Baixos (Holanda),2015,1665.0,7907.0
Japão,2015,2069761.0,4702320.0
Emirados Arabes Unidos,2015,765.0,3740.0
China,2015,77158.0,291706.0
Paraguai,2015,695015.0,1044701.0
Lituânia,2015,133236.0,208166.0
Dinamarca,2015,126371.0,323236.0
Panamá,2015,450.0,617.0
Países Baixos,2015,17905238.0,34212132.0
Taiwan (Formosa),2015,7200.0,23940.0
Antilhas Holandesas,2015,6660.0,10545.0
Benin,2015,438.0,321.0
"Rússia, Federação da",2015,208715.0,335657.0
Suriname,2015,23906.0,86119.0
Colômbia,2015,6650.0,18296.0
Bolívia,2015,22959.0,46201.0
Suécia,2015,90704.0,182988.0
Noruega,2015,608250.0,1506611.0
Guiana,2015,22.0,221.0
Australia,2015,235.0,1368.0
Argentina,2015,800.0,5992.0
Rússia,2015,47664.0,18240.0
Cingapura,2015,1116.0,2774.0
"Alemanha, República Democrática",2015,3287867.0,6577737.0
Luxemburgo,2015,2295.0,17358.0
Estados Unidos,2015,734549.0,2303628.0
Bélgica,2015,93305.0,245459.0
Belgica,2015,900.0,5280.0
Áustria,2016,675.0,5220.0
Noruega,2016,661500.0,1603529.0
"Coreia do Sul, Republica da",2016,212.0,1180.0
Islândia,2016,12000.0,36321.0
Canadá,2016,124463.0,358550.0
"Tcheca, República",2016,3967.0,28752.0
Nigéria,2016,68.0,445.0
Estônia,2016,900.0,4800.0
Angola,2016,13410.0,47171.0
Australia,2016,594.0,2602.0
Espanha,2016,14400.0,36070.0
Japão,2016,1883254.0,4149533.0
Dinamarca,2016,13346.0,38303.0
Colombia,2016,617.0,1532.0
Cingapura,2016,5445.0,13199.0
Trinidade e Tobago,2016,37610.0,128791.0
República Dominicana,2016,25970.0,96571.0
Tailândia,2016,3960.0,33741.0
China,2016,139912.0,522026.0
México,2016,95340.0,305904.0
França,2016,6037.0,30055.0
Bolívia,2016,23965.0,44630.0
Filânldia,2016,7522.0,35948.0
Venezuela,2016,632953.0,2004467.0
Irlanda,2016,162885.0,433477.0
Emirados Arabes Unidos,2016,585.0,2760.0
Reino Unido,2016,7802121.0,17221359.0
Guiné Equatorial,2016,7738.0,17056.0
Suíça,2016,4500.0,36059.0
Antilhas Holandesas,2016,16641.0,26450.0
Luxemburgo,2016,2804.0,21947.0
Suécia,2016,357811.0,774284.0
Hong Kong,2016,9951.0,91581.0
Bélgica,2016,7200.0,46534.0
Cuba,2016,63741.0,69830.0
Polônia,2016,11457.0,35402.0
Chile,2016,10354.0,67787.0
Republica Tcheca,2016,94.0,532.0
Estados Unidos,2016,718183.0,2173425.0
Nova Zelândia,2016,504.0,9472.0
Togo,2016,709.0,556.0
"Alemanha, República Democrática",2016,2398124.0,5229189.0
Emirados Árabes Unidos,2016,1648528.0,4118900.0
Suriname,2016,15900.0,54835.0
Canada,2016,901.0,3821.0
Haiti,2016,864.0,901.0
Itália,2016,720.0,4245.0
Alemanha,2016,4293.0,19088.0
